Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,FALSE
Ajio,SET414-KR-NP-L,Set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,FALSE
Myntra,SET261-KR-PP-S,Set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,FALSE
Amazon,SET110-KR-PP-M,Set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,FALSE
Myntra,JNE2294-KR-A-XXL,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,FALSE
Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,FALSE
Meesho,JNE3801-KR-XXL,kurta,XXL,1,INR,735,BENGALURU,KARNATAKA,560029,IN,FALSE
Others,JNE3405-KR-M,kurta,M,1,INR,435,GURUGRAM,HARYANA,122001,IN,FALSE
Amazon,JNE3474-KR-E-XL,kurta,XL,1,INR,385,BENGALURU,KARNATAKA,562149,IN,FALSE
Myntra,JNE3466-KR-L,kurta,L,1,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,FALSE
Amazon,JNE3795-KR-S,kurta,S,1,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE
Myntra,J0181-TP-M,Top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,FALSE
Amazon,SET217-KR-PP-XL,Set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,FALSE
Myntra,SET185-KR-NP-M,Set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,FALSE
Amazon,SET333-KR-DPT-M,Set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,FALSE
Nalli,J0124-TP-L,Top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,FALSE
Meesho,SET304-KR-DPT-XL,Set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,FALSE
Others,SET184-KR-PP-XS,Set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,FALSE
Myntra,J0161-DR-XXL,Western Dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,FALSE
Amazon,SET233-KR-PP-M,Set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,FALSE
Nalli,J0231-SKD-XXXL,Set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,FALSE
Myntra,J0339-DR-XXL,Western Dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,FALSE
Myntra,SET210-KR-PP-XXXL,Set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,FALSE
Ajio,SET110-KR-PP-XS,Set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,FALSE
Amazon,SET273-KR-NP-M,Set,M,1,INR,612,HYDERABAD,TELANGANA,500060,IN,FALSE
Others,MEN5025-KR-XXL,kurta,XXL,1,INR,533,INDORE,MADHYA PRADESH,452014,IN,FALSE
